"id","full_name","age","gender","device_type","ad_position","browsing_history","time_of_day","click","row_id"
5419,"user5419",40,"male","tablet","top","entertaiment","morning",1,46
5623,"user5623",53,"female","desktop","side","entertaiment","morning",1,47
5329,"user5329",54,"male","tablet","side","education","evening",1,48
9921,"user9921",40,"female","desktop","side","entertaiment","night",0,49
5338,"user5338",51,"male","mobile","top","social media","morning",1,50
5821,"user5821",31,"female","desktop","bottom","education","morning",0,51
5065,"user5065",40,"male","mobile","side","entertaiment","evening",0,52
9990,"user9990",25,"male","desktop","side","education","night",1,53
7993,"user7993",40,"non-binary","mobile","bottom","social media","morning",1,54
3746,"user3746",40,"male","desktop","top","entertaiment","morning",1,55
4509,"user4509",29,"female","desktop","bottom","education","afternoon",1,56
5955,"user5955",59,"female","tablet","side","entertaiment","evening",1,58
4890,"user4890",43,"male","tablet","bottom","education","afternoon",1,59
9992,"user9992",40,"male","desktop","side","shopping","evening",1,60
5100,"user5100",42,"female","mobile","side","shopping","morning",1,61
2595,"user2595",40,"female","desktop","bottom","entertaiment","morning",1,62
7466,"user7466",47,"female","mobile","bottom","shopping","afternoon",1,63
6129,"user6129",36,"male","tablet","bottom","shopping","evening",1,64
4625,"user4625",33,"non-binary","mobile","top","news","morning",0,65
8459,"user8459",38,"non-binary","tablet","bottom","entertainment","morning",1,66
3215,"user3215",33,"male","mobile","side","entertaiment","afternoon",0,67
9153,"user9153",61,"non-binary","tablet","bottom","entertaiment","morning",0,68
2096,"user2096",48,"non-binary","desktop","top","entertaiment","night",1,69
1539,"user1539",43,"female","mobile","bottom","education","evening",1,70
2722,"user2722",39,"female","desktop","top","entertaiment","evening",1,71
8171,"user8171",40,"non-binary","mobile","side","education","afternoon",0,72
2023,"user2023",19,"non-binary","desktop","top","entertaiment","morning",1,73
5890,"user5890",56,"female","mobile","bottom","news","night",1,74
4151,"user4151",40,"female","desktop","bottom","entertaiment","evening",0,75
5062,"user5062",40,"male","tablet","bottom","entertaiment","night",0,76
8176,"user8176",40,"male","desktop","top","news","afternoon",0,77
4777,"user4777",40,"female","tablet","side","entertaiment","morning",0,78
6683,"user6683",40,"female","tablet","side","entertaiment","night",1,79
973,"user973",37,"female","mobile","bottom","entertaiment","morning",1,80
6125,"user6125",18,"female","desktop","bottom","entertaiment","afternoon",0,81
1908,"user1908",26,"male","mobile","bottom","education","evening",1,82
7529,"user7529",40,"female","desktop","top","entertainment","afternoon",0,83
2964,"user2964",40,"non-binary","mobile","side","entertainment","night",1,84
8127,"user8127",40,"male","tablet","bottom","entertaiment","night",1,85
188,"user188",56,"female","tablet","bottom","news","morning",1,86
6880,"user6880",40,"female","mobile","side","news","night",1,87
2142,"user2142",34,"non-binary","desktop","top","shopping","afternoon",1,88
6573,"user6573",55,"non-binary","desktop","side","entertaiment","evening",1,89
2021,"user2021",41,"male","mobile","bottom","social media","night",1,90
4212,"user4212",40,"female","desktop","bottom","news","morning",0,91
2133,"user2133",40,"female","tablet","side","shopping","morning",0,92
9137,"user9137",35,"female","desktop","side","social media","morning",0,93
3014,"user3014",40,"female","mobile","top","entertaiment","afternoon",1,94
8085,"user8085",35,"non-binary","mobile","bottom","entertaiment","evening",0,95
5986,"user5986",32,"female","desktop","side","entertaiment","morning",0,96
6619,"user6619",36,"female","tablet","bottom","social media","evening",0,97
933,"user933",41,"female","tablet","bottom","entertainment","night",0,98
5484,"user5484",64,"female","mobile","side","education","morning",0,99
4779,"user4779",40,"female","tablet","top","entertaiment","afternoon",0,100
2124,"user2124",40,"male","desktop","top","entertaiment","evening",1,101
7335,"user7335",24,"female","tablet","side","entertainment","night",0,102
579,"user579",40,"female","tablet","side","entertainment","evening",0,103
8948,"user8948",25,"female","mobile","bottom","education","evening",1,104
3109,"user3109",40,"female","tablet","side","entertainment","evening",1,105
3042,"user3042",40,"female","mobile","side","social media","afternoon",1,106
3225,"user3225",23,"female","tablet","bottom","entertainment","morning",1,107
4925,"user4925",47,"female","desktop","side","entertainment","evening",0,108
5569,"user5569",40,"female","mobile","bottom","entertaiment","afternoon",1,109
6167,"user6167",20,"male","mobile","side","shopping","night",1,110
2272,"user2272",52,"female","tablet","bottom","news","morning",1,111
3801,"user3801",26,"non-binary","desktop","side","entertaiment","evening",1,112
3938,"user3938",40,"male","mobile","bottom","entertaiment","evening",1,114
316,"user316",42,"non-binary","desktop","top","social media","night",1,115
949,"user949",40,"female","desktop","top","social media","morning",0,116
6145,"user6145",40,"female","desktop","side","education","evening",0,117
9075,"user9075",36,"female","mobile","top","entertaiment","night",1,118
3818,"user3818",27,"female","desktop","top","shopping","night",0,119
6919,"user6919",45,"non-binary","desktop","top","social media","night",0,120
9789,"user9789",36,"female","tablet","side","entertaiment","morning",1,122
1077,"user1077",40,"non-binary","desktop","top","entertaiment","afternoon",1,123
3062,"user3062",34,"male","desktop","bottom","entertainment","evening",1,124
7779,"user7779",36,"female","desktop","bottom","entertaiment","morning",0,125
6060,"user6060",40,"female","desktop","top","news","morning",0,126
3658,"user3658",45,"female","desktop","side","shopping","night",1,127
4994,"user4994",62,"female","mobile","bottom","entertaiment","night",0,130
5055,"user5055",45,"male","desktop","top","education","morning",1,131
6724,"user6724",37,"female","desktop","top","entertainment","evening",1,132
6602,"user6602",40,"female","desktop","side","entertaiment","night",1,133
1612,"user1612",40,"female","mobile","side","news","evening",1,134
6441,"user6441",40,"female","desktop","top","entertaiment","night",1,135
550,"user550",40,"female","desktop","top","entertaiment","morning",0,137
8253,"user8253",57,"non-binary","desktop","bottom","entertainment","night",1,138
2760,"user2760",55,"female","desktop","top","entertaiment","morning",0,139
4945,"user4945",31,"male","tablet","top","social media","morning",1,140
4697,"user4697",40,"female","mobile","side","entertainment","afternoon",1,141
4616,"user4616",40,"female","desktop","side","entertaiment","evening",0,142
6849,"user6849",39,"female","mobile","top","entertainment","night",1,143
9550,"user9550",58,"non-binary","desktop","top","education","afternoon",1,145
9227,"user9227",40,"non-binary","mobile","side","entertaiment","morning",1,146
1729,"user1729",26,"female","mobile","top","entertaiment","afternoon",1,148
5522,"user5522",19,"female","desktop","bottom","entertaiment","night",0,150
3644,"user3644",40,"female","mobile","side","entertainment","evening",1,151
7422,"user7422",20,"female","desktop","top","entertaiment","evening",1,152
5732,"user5732",40,"non-binary","tablet","bottom","entertaiment","evening",1,153
6862,"user6862",40,"male","tablet","side","education","afternoon",1,154
7438,"user7438",53,"non-binary","mobile","side","news","morning",1,155
4985,"user4985",37,"male","mobile","top","news","evening",0,156
5733,"user5733",40,"female","mobile","bottom","entertaiment","morning",0,157
7361,"user7361",40,"female","mobile","top","entertainment","afternoon",0,158
1524,"user1524",24,"male","mobile","bottom","entertaiment","night",1,159
2542,"user2542",58,"non-binary","mobile","side","entertainment","evening",1,160
5703,"user5703",55,"female","tablet","side","shopping","night",0,161
4856,"user4856",21,"female","desktop","top","entertaiment","evening",0,162
8222,"user8222",27,"female","tablet","side","news","afternoon",1,163
1197,"user1197",62,"male","mobile","top","social media","night",1,164
119,"user119",59,"female","tablet","top","entertaiment","night",1,165
9307,"user9307",40,"female","desktop","bottom","social media","evening",0,166
8683,"user8683",26,"female","desktop","side","entertaiment","morning",0,167
4957,"user4957",58,"male","desktop","bottom","social media","evening",1,168
6771,"user6771",40,"female","desktop","side","shopping","morning",1,169
8442,"user8442",54,"female","tablet","bottom","news","evening",0,170
4450,"user4450",45,"female","mobile","top","entertaiment","evening",0,171
5881,"user5881",26,"non-binary","tablet","top","entertaiment","morning",1,172
3277,"user3277",40,"female","mobile","side","news","morning",0,173
820,"user820",39,"non-binary","mobile","side","social media","afternoon",0,174
9642,"user9642",40,"non-binary","mobile","bottom","entertaiment","evening",1,175
8174,"user8174",20,"female","mobile","bottom","entertaiment","afternoon",1,176
1127,"user1127",40,"female","desktop","side","entertaiment","afternoon",1,177
1171,"user1171",40,"female","mobile","bottom","entertaiment","night",1,178
9586,"user9586",40,"female","desktop","bottom","shopping","afternoon",0,180
393,"user393",40,"female","desktop","bottom","shopping","morning",1,181
6315,"user6315",40,"female","desktop","top","news","afternoon",1,182
8010,"user8010",24,"female","desktop","top","entertaiment","morning",0,183
3345,"user3345",39,"male","desktop","side","social media","night",1,184
2364,"user2364",54,"female","desktop","side","entertaiment","afternoon",0,185
4507,"user4507",42,"female","desktop","bottom","entertaiment","morning",0,186
8252,"user8252",40,"male","tablet","side","entertaiment","night",1,187
1549,"user1549",56,"female","desktop","top","entertaiment","afternoon",1,188
8947,"user8947",22,"male","desktop","bottom","entertainment","night",1,189
7661,"user7661",48,"female","mobile","side","news","night",1,190
6423,"user6423",40,"female","tablet","side","shopping","afternoon",0,191
6553,"user6553",40,"female","desktop","bottom","education","morning",1,192
453,"user453",40,"female","tablet","top","entertainment","afternoon",1,194
4345,"user4345",40,"female","desktop","bottom","education","afternoon",0,195
6268,"user6268",40,"female","desktop","top","entertaiment","night",1,196
329,"user329",36,"female","desktop","top","entertaiment","night",0,197
9266,"user9266",38,"female","mobile","bottom","education","afternoon",1,198
6917,"user6917",40,"non-binary","mobile","bottom","entertaiment","afternoon",0,199
4228,"user4228",40,"female","desktop","side","entertaiment","morning",1,200
4630,"user4630",19,"non-binary","tablet","side","shopping","evening",0,201
5574,"user5574",52,"female","desktop","bottom","shopping","afternoon",1,202
120,"user120",40,"female","desktop","side","entertaiment","night",0,203
9245,"user9245",40,"female","tablet","top","education","morning",0,204
6143,"user6143",29,"non-binary","mobile","bottom","entertaiment","afternoon",1,205
3232,"user3232",22,"female","tablet","bottom","entertaiment","night",0,206
6479,"user6479",40,"male","tablet","side","entertaiment","afternoon",1,207
3577,"user3577",58,"female","desktop","side","social media","afternoon",0,208
5845,"user5845",40,"female","tablet","bottom","shopping","morning",0,209
301,"user301",59,"male","tablet","side","social media","evening",1,212
5301,"user5301",40,"male","tablet","side","social media","night",1,213
5439,"user5439",38,"female","tablet","side","social media","afternoon",1,214
4254,"user4254",19,"male","desktop","bottom","entertaiment","afternoon",1,216
1099,"user1099",36,"male","tablet","top","shopping","night",0,217
3641,"user3641",33,"female","tablet","top","entertaiment","night",1,218
9806,"user9806",58,"male","tablet","bottom","entertaiment","evening",1,219
8561,"user8561",52,"male","mobile","bottom","entertaiment","evening",1,221
9888,"user9888",49,"male","mobile","top","news","morning",1,222
9448,"user9448",40,"non-binary","mobile","side","entertainment","morning",0,223
7272,"user7272",40,"female","tablet","bottom","news","afternoon",0,225
4525,"user4525",40,"female","mobile","top","entertainment","morning",0,226
6153,"user6153",30,"female","mobile","side","entertainment","night",1,227
7498,"user7498",40,"male","mobile","side","shopping","afternoon",1,228
9807,"user9807",35,"non-binary","tablet","bottom","education","night",1,229
6883,"user6883",32,"male","desktop","side","news","afternoon",0,231
234,"user234",19,"female","tablet","bottom","social media","morning",1,232
9736,"user9736",46,"female","desktop","bottom","education","evening",1,233
255,"user255",31,"female","desktop","bottom","entertainment","night",1,234
1470,"user1470",25,"male","tablet","top","social media","evening",0,235
2129,"user2129",47,"female","tablet","bottom","social media","evening",1,236
645,"user645",40,"female","tablet","side","entertaiment","morning",0,237
4015,"user4015",44,"male","tablet","side","entertaiment","evening",1,238
8208,"user8208",40,"female","tablet","top","education","evening",1,239
2244,"user2244",42,"female","mobile","top","entertaiment","evening",0,240
7678,"user7678",53,"female","desktop","top","social media","night",0,241
4952,"user4952",41,"female","desktop","bottom","entertaiment","night",0,242
8515,"user8515",40,"non-binary","mobile","bottom","entertainment","night",1,243
4855,"user4855",40,"non-binary","desktop","top","entertaiment","morning",0,244
9590,"user9590",40,"non-binary","tablet","bottom","entertaiment","morning",0,245
813,"user813",40,"female","tablet","top","education","morning",1,246
2173,"user2173",52,"male","mobile","bottom","shopping","night",1,249
5571,"user5571",40,"female","desktop","side","entertaiment","evening",0,250
9611,"user9611",40,"male","desktop","side","entertainment","afternoon",1,251
5737,"user5737",29,"female","desktop","top","shopping","night",0,252
7788,"user7788",63,"non-binary","mobile","side","entertaiment","night",0,253
7471,"user7471",40,"female","mobile","bottom","shopping","morning",1,254
9811,"user9811",40,"female","mobile","side","entertaiment","morning",0,255
8115,"user8115",20,"female","mobile","top","social media","afternoon",1,256
5425,"user5425",40,"non-binary","mobile","side","entertainment","afternoon",1,257
4874,"user4874",40,"male","mobile","bottom","news","morning",0,258
1914,"user1914",42,"male","tablet","bottom","shopping","night",1,259
4950,"user4950",28,"male","mobile","side","entertaiment","morning",1,261
4621,"user4621",20,"female","desktop","top","entertaiment","afternoon",1,262
24,"user24",40,"female","tablet","side","entertaiment","afternoon",1,263
1704,"user1704",61,"female","tablet","bottom","shopping","evening",1,264
7450,"user7450",40,"female","desktop","side","news","night",1,265
6935,"user6935",40,"male","mobile","bottom","entertaiment","morning",0,266
2431,"user2431",54,"male","desktop","top","entertaiment","night",1,267
3164,"user3164",40,"female","desktop","bottom","entertaiment","evening",1,268
4756,"user4756",59,"non-binary","mobile","bottom","education","evening",1,269
7674,"user7674",43,"female","tablet","bottom","news","afternoon",1,271
2019,"user2019",42,"female","tablet","top","entertaiment","night",0,272
1446,"user1446",40,"female","desktop","bottom","news","night",1,273
7750,"user7750",46,"female","mobile","side","social media","morning",1,274
2337,"user2337",40,"male","desktop","top","entertainment","evening",1,275
118,"user118",43,"female","tablet","bottom","social media","night",0,276
4178,"user4178",41,"male","desktop","top","entertaiment","morning",0,277
6487,"user6487",19,"male","tablet","side","entertaiment","morning",1,278
8957,"user8957",40,"female","mobile","top","entertaiment","morning",1,279
3057,"user3057",40,"female","desktop","top","entertainment","afternoon",0,280
3314,"user3314",35,"female","tablet","top","news","evening",0,281
5995,"user5995",40,"male","desktop","top","entertaiment","morning",0,282
3007,"user3007",42,"male","desktop","top","shopping","night",0,283
6765,"user6765",46,"female","tablet","side","entertainment","morning",1,284
5193,"user5193",50,"female","desktop","side","education","afternoon",1,285
6906,"user6906",40,"non-binary","mobile","top","entertaiment","morning",1,286
1325,"user1325",40,"female","desktop","side","entertaiment","evening",1,287
756,"user756",40,"female","desktop","bottom","entertaiment","evening",0,288
5194,"user5194",53,"male","mobile","top","news","afternoon",1,289
4611,"user4611",20,"female","tablet","bottom","social media","night",0,290
2565,"user2565",40,"non-binary","desktop","bottom","shopping","night",0,292
2965,"user2965",40,"non-binary","tablet","top","shopping","morning",0,293
8041,"user8041",40,"female","mobile","bottom","social media","afternoon",1,294
2555,"user2555",40,"non-binary","tablet","bottom","news","evening",1,295
4773,"user4773",59,"male","desktop","top","entertainment","morning",0,296
6438,"user6438",53,"non-binary","tablet","top","shopping","night",1,297
217,"user217",40,"female","tablet","bottom","education","morning",0,298
6864,"user6864",40,"female","desktop","side","social media","evening",0,300
9128,"user9128",40,"female","desktop","top","entertaiment","morning",0,301
6462,"user6462",36,"female","tablet","side","education","evening",1,302
1214,"user1214",26,"female","mobile","bottom","news","evening",1,304
8372,"user8372",52,"female","desktop","top","entertaiment","afternoon",0,305
3543,"user3543",55,"female","tablet","top","entertaiment","night",1,306
400,"user400",52,"non-binary","tablet","side","entertaiment","evening",1,307
7214,"user7214",62,"non-binary","mobile","bottom","education","morning",0,308
8334,"user8334",40,"male","desktop","top","entertaiment","evening",0,309
3236,"user3236",56,"female","mobile","bottom","education","morning",1,310
1965,"user1965",40,"female","tablet","bottom","shopping","morning",0,311
5403,"user5403",61,"male","desktop","top","education","night",0,312
6258,"user6258",40,"non-binary","tablet","top","entertaiment","night",1,313
3375,"user3375",52,"non-binary","mobile","bottom","education","morning",1,314
7805,"user7805",36,"male","mobile","bottom","entertaiment","afternoon",0,315
9647,"user9647",34,"non-binary","desktop","side","entertaiment","evening",0,318
3333,"user3333",30,"male","tablet","top","entertaiment","evening",1,319
5501,"user5501",28,"non-binary","mobile","bottom","social media","evening",1,320
9617,"user9617",63,"female","tablet","side","shopping","afternoon",1,321
7792,"user7792",40,"male","mobile","bottom","entertaiment","evening",0,322
3708,"user3708",43,"male","desktop","top","entertaiment","evening",0,323
3280,"user3280",29,"female","tablet","side","entertaiment","morning",0,326
9732,"user9732",27,"male","desktop","bottom","education","evening",0,328
5642,"user5642",57,"female","tablet","bottom","news","morning",0,329
9689,"user9689",40,"male","desktop","bottom","entertainment","afternoon",1,330
7655,"user7655",39,"female","desktop","bottom","entertaiment","morning",0,331
5780,"user5780",40,"female","mobile","bottom","entertainment","afternoon",1,332
2976,"user2976",40,"female","desktop","bottom","shopping","afternoon",0,334
6262,"user6262",40,"female","desktop","bottom","entertaiment","morning",0,336
2529,"user2529",40,"female","desktop","top","entertaiment","afternoon",1,337
8832,"user8832",49,"female","tablet","side","entertaiment","night",1,338
5945,"user5945",42,"male","desktop","side","entertaiment","morning",0,339
9723,"user9723",40,"female","mobile","side","entertaiment","evening",1,340
6576,"user6576",62,"female","desktop","bottom","entertainment","morning",1,342
5084,"user5084",40,"non-binary","tablet","side","entertainment","evening",1,346
6251,"user6251",44,"non-binary","mobile","side","shopping","morning",1,347
6751,"user6751",40,"female","tablet","bottom","entertaiment","evening",0,348
9996,"user9996",48,"female","desktop","top","shopping","evening",0,349
2973,"user2973",27,"non-binary","tablet","bottom","entertaiment","night",1,350
1020,"user1020",40,"female","mobile","side","education","morning",1,352
7065,"user7065",57,"female","desktop","side","entertaiment","morning",1,353
9412,"user9412",34,"female","mobile","bottom","social media","morning",1,354
9618,"user9618",40,"non-binary","desktop","bottom","education","morning",0,355
3458,"user3458",40,"female","tablet","bottom","entertaiment","morning",0,356
6121,"user6121",40,"female","desktop","top","entertaiment","afternoon",0,358
7659,"user7659",19,"female","mobile","top","news","night",0,359
487,"user487",28,"male","mobile","side","entertaiment","afternoon",1,360
2003,"user2003",40,"female","desktop","bottom","news","afternoon",0,361
5664,"user5664",32,"male","mobile","top","entertaiment","morning",0,363
1945,"user1945",20,"female","tablet","side","entertainment","night",1,365
4429,"user4429",34,"female","mobile","top","entertainment","morning",1,367
3663,"user3663",40,"female","mobile","bottom","social media","morning",0,368
8103,"user8103",40,"non-binary","desktop","top","entertaiment","night",0,369
2757,"user2757",35,"female","mobile","bottom","social media","night",0,370
9420,"user9420",40,"non-binary","tablet","side","education","afternoon",1,371
8058,"user8058",25,"female","mobile","bottom","entertaiment","afternoon",0,372
560,"user560",40,"female","desktop","side","social media","morning",0,373
3299,"user3299",44,"non-binary","tablet","side","news","evening",1,375
9136,"user9136",40,"non-binary","desktop","side","entertaiment","afternoon",1,376
2336,"user2336",32,"female","tablet","side","entertaiment","morning",1,377
6974,"user6974",53,"female","desktop","side","education","evening",0,378
1486,"user1486",40,"female","desktop","side","entertaiment","morning",0,380
4587,"user4587",40,"female","tablet","top","entertaiment","morning",0,381
606,"user606",40,"non-binary","desktop","bottom","entertainment","afternoon",1,382
1369,"user1369",40,"female","desktop","bottom","social media","morning",1,383
9162,"user9162",40,"female","mobile","top","entertaiment","night",0,386
770,"user770",40,"female","mobile","bottom","entertaiment","evening",1,387
2174,"user2174",36,"female","desktop","bottom","entertainment","afternoon",1,389
5756,"user5756",51,"non-binary","tablet","top","shopping","afternoon",1,390
373,"user373",34,"female","mobile","top","education","evening",1,392
1148,"user1148",25,"female","mobile","bottom","entertaiment","afternoon",1,394
9146,"user9146",58,"female","desktop","top","entertaiment","afternoon",1,395
5412,"user5412",35,"female","mobile","top","entertaiment","evening",1,397
5276,"user5276",42,"female","tablet","side","shopping","afternoon",1,398
6202,"user6202",40,"female","tablet","bottom","shopping","night",1,399
8581,"user8581",49,"female","mobile","bottom","entertaiment","morning",0,401
9151,"user9151",22,"male","desktop","top","entertaiment","evening",0,406
1540,"user1540",45,"female","tablet","top","entertaiment","evening",0,408
4762,"user4762",24,"female","mobile","side","shopping","morning",0,409
9966,"user9966",40,"female","mobile","top","entertaiment","afternoon",1,411
6188,"user6188",20,"male","desktop","bottom","entertainment","morning",1,412
3430,"user3430",61,"male","desktop","side","social media","morning",1,413
7988,"user7988",40,"female","mobile","bottom","news","evening",0,414
5487,"user5487",40,"female","desktop","bottom","entertaiment","night",0,415
2691,"user2691",40,"non-binary","desktop","bottom","news","afternoon",1,417
8978,"user8978",40,"female","desktop","side","entertaiment","morning",0,418
346,"user346",29,"male","mobile","top","news","evening",0,419
265,"user265",30,"female","desktop","bottom","entertaiment","afternoon",0,420
2711,"user2711",40,"non-binary","tablet","side","education","morning",0,422
6160,"user6160",40,"female","tablet","bottom","entertaiment","evening",0,423
6980,"user6980",62,"female","desktop","bottom","social media","night",1,426
9842,"user9842",43,"non-binary","mobile","top","shopping","afternoon",1,430
5951,"user5951",41,"female","tablet","top","entertaiment","evening",0,431
1805,"user1805",40,"male","mobile","top","entertaiment","afternoon",1,432
8817,"user8817",53,"male","tablet","bottom","education","night",1,435
7526,"user7526",40,"female","tablet","side","entertaiment","evening",1,436
5498,"user5498",40,"female","tablet","side","education","morning",1,437
8956,"user8956",40,"male","tablet","top","news","morning",1,439
1635,"user1635",54,"female","tablet","top","news","evening",1,441
1601,"user1601",41,"female","tablet","top","education","morning",0,442
9670,"user9670",56,"female","desktop","top","shopping","afternoon",0,443
3776,"user3776",40,"female","desktop","top","social media","evening",0,444
3906,"user3906",40,"non-binary","tablet","bottom","entertaiment","evening",1,445
911,"user911",32,"non-binary","desktop","top","entertainment","night",1,446
8189,"user8189",40,"female","tablet","top","shopping","morning",0,447
4462,"user4462",52,"female","tablet","bottom","entertaiment","afternoon",1,450
5095,"user5095",40,"female","desktop","bottom","entertaiment","afternoon",0,452
3330,"user3330",49,"male","desktop","top","news","afternoon",1,453
9816,"user9816",40,"male","desktop","bottom","entertainment","morning",0,454
9516,"user9516",28,"female","desktop","top","entertaiment","morning",1,455
805,"user805",40,"female","desktop","bottom","entertaiment","evening",1,456
6211,"user6211",34,"female","mobile","top","entertaiment","night",0,458
7973,"user7973",28,"female","mobile","bottom","shopping","morning",1,461
1305,"user1305",40,"female","tablet","top","news","night",1,464
2650,"user2650",53,"female","desktop","side","entertaiment","morning",0,466
4236,"user4236",51,"female","desktop","bottom","entertaiment","night",0,467
9173,"user9173",49,"female","desktop","side","education","evening",0,468
2913,"user2913",57,"non-binary","mobile","side","social media","evening",1,469
6161,"user6161",61,"female","tablet","bottom","entertaiment","afternoon",1,470
5766,"user5766",63,"male","desktop","side","social media","evening",1,471
5566,"user5566",40,"non-binary","mobile","bottom","social media","morning",1,472
6989,"user6989",28,"male","mobile","bottom","shopping","afternoon",1,473
8018,"user8018",40,"female","desktop","side","entertaiment","night",1,474
1141,"user1141",37,"male","desktop","bottom","entertaiment","afternoon",1,476
3285,"user3285",40,"male","tablet","side","news","morning",0,477
2156,"user2156",46,"female","tablet","side","entertaiment","afternoon",1,479
3759,"user3759",40,"female","mobile","top","entertaiment","morning",0,481
3854,"user3854",56,"female","tablet","bottom","social media","afternoon",1,482
8530,"user8530",52,"female","mobile","top","social media","afternoon",1,484
9231,"user9231",21,"female","desktop","top","shopping","evening",1,486
3561,"user3561",37,"female","desktop","side","social media","evening",1,488
9855,"user9855",40,"male","desktop","bottom","news","morning",1,489
1445,"user1445",44,"female","mobile","top","entertaiment","morning",0,490
3478,"user3478",62,"non-binary","tablet","top","entertaiment","night",0,491
3834,"user3834",61,"male","desktop","bottom","entertaiment","night",0,492
6811,"user6811",24,"male","mobile","bottom","education","evening",1,495
1136,"user1136",58,"female","mobile","side","entertaiment","morning",1,497
1225,"user1225",27,"female","tablet","side","entertainment","evening",1,498
7,"user7",40,"female","tablet","bottom","entertaiment","evening",1,499
2946,"user2946",37,"female","desktop","bottom","entertaiment","afternoon",1,500
7086,"user7086",30,"non-binary","mobile","top","entertaiment","morning",1,501
8789,"user8789",44,"female","desktop","top","entertainment","evening",1,506
5324,"user5324",40,"non-binary","mobile","top","social media","night",1,507
5878,"user5878",40,"female","tablet","bottom","education","afternoon",1,508
9058,"user9058",40,"non-binary","desktop","bottom","education","afternoon",0,510
7448,"user7448",40,"male","tablet","side","entertainment","morning",0,511
2266,"user2266",38,"non-binary","mobile","bottom","entertaiment","morning",0,512
4415,"user4415",40,"non-binary","desktop","top","news","night",0,513
1850,"user1850",38,"female","desktop","top","entertaiment","evening",0,514
1931,"user1931",40,"female","mobile","bottom","shopping","night",1,515
5523,"user5523",40,"female","desktop","top","shopping","afternoon",0,516
2733,"user2733",40,"non-binary","tablet","bottom","entertaiment","morning",1,517
5678,"user5678",40,"female","desktop","top","entertaiment","afternoon",0,518
3955,"user3955",63,"female","desktop","top","entertainment","afternoon",0,520
1340,"user1340",40,"female","tablet","bottom","entertainment","evening",0,521
6743,"user6743",40,"female","mobile","side","entertainment","evening",1,522
5909,"user5909",45,"female","tablet","top","entertaiment","afternoon",1,524
8359,"user8359",40,"female","desktop","bottom","shopping","morning",0,525
9021,"user9021",50,"female","tablet","top","entertaiment","morning",0,526
7828,"user7828",29,"female","tablet","bottom","entertaiment","morning",1,527
228,"user228",46,"female","mobile","top","social media","evening",1,528
7971,"user7971",40,"non-binary","tablet","top","entertaiment","evening",1,529
